date,temperature,dewpoint,pressure,wind_speed,wind_dir,wind_dir_degrees,visibility,humidity,max_temperature,min_temperature,temperature_normal,min_temperature_normal,max_temperature_normal,min_temperature_record,max_temperature_record,min_temperature_record_year,max_temperature_record_year,max_humidity,min_humidity,max_dewpoint,min_dewpoint,max_pressure,min_pressure,max_wind_speed,min_wind_speed,max_visibility,min_visibility,fog,hail,snow,rain,thunder,tornado,snowfall,monthtodatesnowfall,since1julsnowfall,snowdepth,precip,preciprecord,preciprecordyear,precipnormal,since1janprecipitation,since1janprecipitationnormal,monthtodateprecipitation,monthtodateprecipitationnormal,precipsource,gdegreedays,heatingdegreedays,coolingdegreedays,heatingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,coolingdegreedaysnormal,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,avgoktas,icon
19900101,54,42,30.09,5,None,None,9,None,62,46,None,None,None,35,78,1919,1898,75,38,50,30,30.19,30.03,10,0,10,8,0,0,0,0,0,0,0.0,None,None,None,0.0,1.6,1855,None,None,None,None,None,None,4,11,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,partlycloudy
19900102,55,47,29.98,9,None,None,13,None,57,52,None,None,None,35,80,1919,1893,90,58,53,42,30.06,29.94,16,4,20,3,0,0,0,1,0,0,0.0,None,None,None,0.42,1.53,1879,None,None,None,None,None,None,5,10,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,rain
19900103,53,44,30.18,4,None,None,11,None,60,46,None,None,None,34,83,1949,1943,89,53,46,42,30.26,30.08,8,0,20,7,0,0,0,0,0,0,0.0,None,None,None,0.0,1.08,2005,None,None,None,None,None,None,3,12,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,mostlysunny
19900104,53,34,30.23,5,None,None,13,None,64,42,None,None,None,29,86,1949,1969,71,23,44,20,30.29,30.19,16,0,20,10,0,0,0,0,0,0,0.0,None,None,None,0.0,2.24,1995,None,None,None,None,None,None,3,12,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,clear
19900105,55,35,30.22,5,None,None,13,None,66,44,None,None,None,30,83,1949,2012,74,22,48,22,30.26,30.18,15,0,20,8,0,0,0,0,0,0,0.0,None,None,None,0.0,1.65,2016,None,None,None,None,None,None,5,10,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,clear
19900106,56,34,30.27,3,None,None,14,None,69,44,None,None,None,28,83,1913,2006,68,17,45,22,30.34,30.22,8,0,20,10,0,0,0,0,0,0,0.0,None,None,None,0.0,1.27,1977,None,None,None,None,None,None,6,8,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,mostlysunny
19900107,54,40,30.28,2,None,None,13,None,64,44,None,None,None,25,82,1913,2003,89,35,53,27,30.35,30.23,10,0,20,8,0,0,0,0,0,0,0.0,None,None,None,0.0,1.27,1957,None,None,None,None,None,None,4,11,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,mostlysunny
19900108,56,47,30.14,3,None,None,6,None,64,48,None,None,None,33,78,1894,1983,90,42,53,40,30.24,30.06,13,0,8,5,1,0,0,0,0,0,0.0,None,None,None,0.0,0.96,1931,None,None,None,None,None,None,6,9,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,hazy
19900109,60,48,30.08,4,None,None,6,None,71,48,None,None,None,35,85,1891,1923,100,44,53,43,30.14,30.05,9,0,7,0,1,0,0,0,0,0,0.0,None,None,None,0.0,1.57,2018,None,None,None,None,None,None,10,6,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,hazy
19900110,58,53,30.08,4,None,None,3,None,66,51,None,None,None,34,88,1888,1953,100,63,55,49,30.14,30.03,9,0,10,0,1,0,0,0,0,0,0.0,None,None,None,0.0,1.76,1911,None,None,None,None,None,None,8,6,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,hazy
19900111,60,52,30.07,5,None,None,4,None,71,50,None,None,None,35,83,1913,1983,100,45,57,44,30.13,29.99,12,0,8,0,1,0,0,0,0,0,0.0,None,None,None,0.0,1.56,1886,None,None,None,None,None,None,10,4,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,hazy
19900112,58,52,30.05,5,None,None,8,None,64,53,None,None,None,34,82,1882,1986,87,61,56,46,30.1,30.01,12,0,20,5,1,0,0,0,0,0,0.0,None,None,None,0.0,2.49,1882,None,None,None,None,None,None,8,6,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,hazy
19900113,59,56,30.06,9,None,None,8,None,63,55,None,None,None,31,83,1963,1904,97,78,59,53,30.11,30.03,15,5,10,5,1,0,0,1,0,0,0.0,None,None,None,0.12,1.29,1952,None,None,None,None,None,None,9,6,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,rain
